ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2808    0.005    0.000    0.006    0.000 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\core\_ufunc_config.py:132(geterr)
26343/26340    0.005    0.000    0.005    0.000 {built-in method builtins.len}
  527/523    0.002    0.000    0.005    0.000 {method 'format' of 'str' objects}
     7287    0.004    0.000    0.004    0.000 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\core\multiarray.py:345(where)
      938    0.002    0.000    0.003    0.000 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\core\fromnumeric.py:1504(squeeze)
        1    0.000    0.000    0.003    0.003 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\contextlib.py:130(__enter__)
        1    0.000    0.000    0.003    0.003 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\contextlib.py:139(__exit__)
     3267    0.003    0.000    0.003    0.000 {built-in method _codecs.charmap_encode}
        2    0.000    0.000    0.003    0.001 <__array_function__ internals>:177(meshgrid)
        2    0.000    0.000    0.003    0.001 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\lib\function_base.py:4892(meshgrid)
        1    0.001    0.001    0.003    0.003 C:\Users\Admin\PycharmProjects\Disseration\project_utils.py:735(auto_gain)
        2    0.000    0.000    0.003    0.001 <__array_function__ internals>:177(stack)
        2    0.000    0.000    0.003    0.001 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\lib\function_base.py:5045(<listcomp>)
        2    0.000    0.000    0.003    0.001 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\core\shape_base.py:383(stack)
        4    0.003    0.001    0.003    0.001 {method 'copy' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.003    0.003 C:\Users\Admin\PycharmProjects\Disseration\project_geometry.py:571(__repr__)
        2    0.000    0.000    0.003    0.001 <__array_function__ internals>:177(concatenate)
       14    0.000    0.000    0.003    0.000 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\core\arrayprint.py:1571(_array_str_implementation)
       14    0.000    0.000    0.002    0.000 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\core\arrayprint.py:561(array2string)
       14    0.000    0.000    0.002    0.000 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\core\arrayprint.py:506(wrapper)
        4    0.000    0.000    0.002    0.001 C:\Users\Admin\PycharmProjects\Disseration\project_geometry.py:994(__str__)
     7684    0.002    0.000    0.002    0.000 {built-in method _operator.index}
       14    0.000    0.000    0.002    0.000 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\core\arrayprint.py:523(_array2string)
     3840    0.002    0.000    0.002    0.000 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\core\numeric.py:1473(<listcomp>)
     3840    0.002    0.000    0.002    0.000 {method 'insert' of 'list' objects}
     3840    0.002    0.000    0.002    0.000 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\core\numeric.py:1407(_moveaxis_dispatcher)
     2985    0.002    0.000    0.002    0.000 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\core\multiarray.py:740(dot)
     2808    0.002    0.000    0.002    0.000 {built-in method numpy.seterrobj}
     1280    0.002    0.000    0.002    0.000 {built-in method numpy.promote_types}
      938    0.002    0.000    0.002    0.000 {method 'squeeze' of 'numpy.ndarray' objects}
       14    0.000    0.000    0.002    0.000 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\core\arrayprint.py:452(_get_format_function)
        1    0.001    0.001    0.001    0.001 {imwrite}
        1    0.000    0.000    0.001    0.001 C:\Users\Admin\PycharmProjects\Disseration\analysis_toolbox.py:7(get_latest_log_number)
     3263    0.001    0.000    0.001    0.000 {method 'write' of '_io.StringIO' objects}
       12    0.000    0.000    0.001    0.000 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\core\arrayprint.py:411(<lambda>)
       12    0.000    0.000    0.001    0.000 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\core\arrayprint.py:907(__init__)
       12    0.000    0.000    0.001    0.000 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\core\arrayprint.py:934(fillFormat)
        4    0.001    0.000    0.001    0.000 {built-in method io.open}
     5616    0.001    0.000    0.001    0.000 {built-in method numpy.geterrobj}
        1    0.000    0.000    0.001    0.001 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\warnings.py:96(_showwarnmsg)
     1713    0.001    0.000    0.001    0.000 {built-in method time.perf_counter}
        1    0.000    0.000    0.001    0.001 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\warnings.py:20(_showwarnmsg_impl)
        1    0.000    0.000    0.001    0.001 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\warnings.py:117(_formatwarnmsg)
        1    0.000    0.000    0.001    0.001 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\warnings.py:35(_formatwarnmsg_impl)
        1    0.000    0.000    0.001    0.001 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\linecache.py:26(getline)
        1    0.000    0.000    0.001    0.001 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\linecache.py:36(getlines)
        1    0.000    0.000    0.001    0.001 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\linecache.py:80(updatecache)
     1280    0.001    0.000    0.001    0.000 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\core\numeric.py:1482(_cross_dispatcher)
      177    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(ndim)
      689    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.001    0.001 C:\Users\Admin\PycharmProjects\Disseration\analysis_toolbox.py:14(<listcomp>)
        7    0.000    0.000    0.001    0.000 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\pathlib.py:1023(glob)
       14    0.000    0.000    0.001    0.000 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\core\arrayprint.py:780(_formatArray)
     1404    0.001    0.000    0.001    0.000 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\core\_ufunc_config.py:426(__init__)
        6    0.001    0.000    0.001    0.000 {built-in method nt.stat}
    56/14    0.000    0.000    0.001    0.000 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\core\arrayprint.py:789(recurser)
        1    0.001    0.001    0.001    0.001 {method 'readlines' of '_io._IOBase' objects}
      938    0.001    0.000    0.001    0.000 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\core\fromnumeric.py:1500(_squeeze_dispatcher)
        1    0.000    0.000    0.000    0.000 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\pathlib.py:1064(resolve)
      254    0.000    0.000    0.000    0.000 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\lib\shape_base.py:600(<listcomp>)
        5    0.000    0.000    0.000    0.000 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\pathlib.py:1092(stat)
      515    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
      772    0.000    0.000    0.000    0.000 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\core\multiarray.py:1079(copyto)
       29    0.000    0.000    0.000    0.000 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\core\fromnumeric.py:69(_wrapreduction)
        3    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(isneginf)
        1    0.000    0.000    0.000    0.000 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\ntpath.py:664(realpath)
        1    0.000    0.000    0.000    0.000 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\pathlib.py:368(_make_selector)
       15    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(amax)
        1    0.000    0.000    0.000    0.000 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\pathlib.py:434(__init__)
        3    0.000    0.000    0.000    0.000 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\lib\ufunclike.py:48(func)
        1    0.000    0.000    0.000    0.000 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\pathlib.py:192(compile_pattern)
        3    0.000    0.000    0.000    0.000 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\lib\ufunclike.py:199(isneginf)
       31    0.000    0.000    0.000    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      254    0.000    0.000    0.000    0.000 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\lib\shape_base.py:508(_expand_dims_dispatcher)
        1    0.000    0.000    0.000    0.000 C:\Users\Admin\PycharmProjects\Disseration\project_geometry.py:165(__str__)
        2    0.000    0.000    0.000    0.000 {method 'close' of '_io.TextIOWrapper' objects}
        3    0.000    0.000    0.000    0.000 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\re.py:288(_compile)
       15    0.000    0.000    0.000    0.000 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\core\fromnumeric.py:2703(amax)
        1    0.000    0.000    0.000    0.000 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\re.py:249(compile)
        2    0.000    0.000    0.000    0.000 {built-in method nt._getfinalpathname}
        4    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(linspace)
      270    0.000    0.000    0.000    0.000 {built-in method numpy.asanyarray}
        1    0.000    0.000    0.000    0.000 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\sre_compile.py:783(compile)
        4    0.000    0.000    0.000    0.000 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\core\function_base.py:23(linspace)
        1    0.000    0.000    0.000    0.000 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\pathlib.py:1170(mkdir)
        1    0.000    0.000    0.000    0.000 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\tokenize.py:390(open)
      177    0.000    0.000    0.000    0.000 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\core\fromnumeric.py:3152(ndim)
        7    0.000    0.000    0.000    0.000 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\pathlib.py:438(_select_from)
        2    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\Admin\PycharmProjects\Disseration\project_utils.py:784(__init__)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(clip)
